nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Professora Dayane Pimentel,F,30/01/1986,67 dias,17 dias,8 dias,24 reuniões,13 reuniões,16 reuniões,"221.802,92",24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,,"1.091.268,51",103819.39,108270.50,109719.50,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,,,"33.763,00",
Patricia Ferraz,F,09/01/1980,10 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"61.594,97",,,,,,,,,7370.23,52876.43,1348.31,,"0,00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,"33.763,00",
Policial Katia Sastre,F,04/04/1976,91 dias,0 dias,1 dias,38 reuniões,0 reuniões,19 reuniões,"373.876,63",34893.09,34694.24,64166.28,35385.20,36339.70,38923.80,34961.86,43018.05,29335.74,22064.62,94.05,,"1.056.090,36",107322.54,104138.84,105140.20,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,,,"33.763,00",
Professora Dorinha Seabra Rezende,F,01/10/1964,71 dias,0 dias,3 dias,69 reuniões,3 reuniões,41 reuniões,"244.204,17",20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,,,,0.00,,"1.033.855,08",97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,,,"33.763,00",
Professora Rosa Neide,F,08/08/1963,88 dias,3 dias,1 dias,40 reuniões,4 reuniões,5 reuniões,"369.889,43",35689.04,50953.17,66922.03,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,31367.91,20534.19,,"1.099.986,55",111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.90,109688.57,109645.72,111202.48,,,"33.763,00",1
Professora Marcivania,F,21/06/1973,91 dias,0 dias,1 dias,34 reuniões,0 reuniões,7 reuniões,"372.925,42",73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17943.62,7350.58,50485.46,6000.00,,"1.113.310,62",111465.49,111400.50,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.50,111483.67,,,"33.763,00",
Rejane Dias,F,04/09/1972,90 dias,0 dias,2 dias,65 reuniões,0 reuniões,33 reuniões,"241.957,13",16913.54,23065.31,34072.61,41316.06,35393.20,27658.11,30276.40,10634.60,10120.33,11597.34,909.63,,"1.022.389,38",94123.29,94123.29,94123.29,96640.01,103386.00,97900.48,110730.33,111077.25,111077.25,109208.19,,,"33.763,00",
Fernanda Melchionna,F,02/02/1984,88 dias,1 dias,3 dias,54 reuniões,0 reuniões,9 reuniões,"305.160,05",20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.50,7126.13,2302.50,17867.64,4855.27,,"1.089.686,56",108969.03,110770.20,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,,,"33.763,00",
Elcione Barbalho,F,05/10/1944,74 dias,8 dias,10 dias,11 reuniões,3 reuniões,15 reuniões,"324.749,25",18282.77,21903.47,42172.90,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,2872.42,,"1.090.868,22",109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,,,"33.763,00",
Gleisi Hoffmann,F,06/09/1965,66 dias,26 dias,0 dias,3 reuniões,1 reuniões,4 reuniões,"373.767,14",48759.04,47652.40,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,29734.54,1442.19,,"1.115.264,20",111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,,,"33.763,00",
