nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Giovani Feltes,M,10/04/1957,91 dias,0 dias,1 dias,18 reuniões,0 reuniões,4 reuniões,"296.462,55",32091.85,37369.29,35989.03,63623.79,29111.39,20875.74,31955.95,26391.45,8680.69,8989.17,1384.20,,"1.095.245,29",111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48,,,"33.763,00",
Daniel Almeida,M,21/01/1955,90 dias,2 dias,0 dias,38 reuniões,0 reuniões,37 reuniões,"356.199,86",58756.35,47548.42,45375.86,51389.18,32596.32,29676.29,18598.64,16188.74,14756.90,40472.41,840.75,,"1.116.596,10",111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,,,"33.763,00",
Daniel Freitas,M,03/04/1982,77 dias,0 dias,15 dias,3 reuniões,0 reuniões,0 reuniões,"305.465,83",38606.89,24248.40,43103.43,47999.13,45138.90,30847.10,32894.95,25917.35,4096.46,12109.81,503.41,,"1.099.503,46",105697.03,105697.03,109243.35,110816.55,110933.95,111423.11,111423.11,111423.11,111423.11,111423.11,,,"33.763,00",
Giovani Cherini,M,23/06/1960,86 dias,3 dias,3 dias,40 reuniões,3 reuniões,13 reuniões,"419.082,83",35135.42,42357.46,49953.41,49975.70,53766.31,54876.19,39994.44,42715.35,21531.51,27017.18,1759.86,,"1.114.323,38",111574.70,111574.70,111574.70,111574.70,111574.70,110520.47,111205.28,111574.71,111574.71,111574.71,,,"33.763,00",
Daniel Silveira,M,25/11/1982,89 dias,1 dias,2 dias,87 reuniões,1 reuniões,58 reuniões,"307.400,84",35637.58,37560.86,37098.84,37913.96,39709.62,33297.09,28745.65,27784.42,13563.62,14939.77,1149.43,,"1.050.905,67",104730.18,106558.15,108774.14,109706.94,105193.39,103433.49,86143.80,107120.36,107862.35,111382.87,,,"33.763,00",
Daniel Trzeciak,M,04/11/1986,86 dias,6 dias,0 dias,31 reuniões,8 reuniões,6 reuniões,"214.073,24",9307.83,15955.97,16366.04,39352.32,18241.57,20817.46,28100.30,16051.09,16840.25,32070.78,969.63,,"1.044.495,31",105455.53,105415.99,105436.13,105982.05,108226.36,109497.39,106036.48,94998.83,99412.79,104033.76,,,"33.763,00",
Danilo Cabral,M,21/04/1967,83 dias,3 dias,6 dias,8 reuniões,6 reuniões,22 reuniões,"287.464,54",23243.32,23195.87,25003.47,45722.17,49445.71,26152.01,32469.21,12877.47,8866.71,39648.42,840.18,,"1.005.945,69",95045.26,95045.26,94090.38,98095.56,99861.52,99861.52,100443.65,100923.05,111114.04,111465.45,,,"33.763,00",
Danrlei de Deus Hinterholz,M,18/04/1973,50 dias,7 dias,11 dias,17 reuniões,9 reuniões,27 reuniões,"219.897,65",,,0.00,39413.57,38636.46,43580.07,37837.68,23198.87,20183.29,17047.71,0.00,,"702.641,09",0.00,0.00,3313.89,88602.16,92253.84,99507.11,95073.08,107705.84,108196.00,107989.17,,,"33.763,00",
Danilo Forte,M,01/09/1958,86 dias,3 dias,3 dias,42 reuniões,2 reuniões,21 reuniões,"399.293,34",67906.91,48807.99,40578.79,52959.10,80716.86,57550.28,22707.17,9622.62,6546.36,11778.36,118.90,,"1.052.260,59",109573.04,105109.88,101753.78,107930.59,108735.93,108600.66,101671.79,104239.59,101843.93,102801.40,,,"33.763,00",
Darci de Matos,M,08/11/1961,80 dias,2 dias,10 dias,55 reuniões,3 reuniões,9 reuniões,"269.534,87",27456.09,37612.31,41962.71,38942.67,42279.75,18366.03,26329.15,14161.38,1290.05,20268.72,866.01,,"1.112.429,82",111593.97,111623.31,111579.26,111659.67,111659.67,110174.35,110543.76,111508.04,111508.04,110579.75,,,"33.763,00",
